#Table: J/MNRAS/441/2361/table1.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
G|               |            |      |    |    |      | |     |      |     |     |        |        |
r|               |            |      |    |    |      |l|     |      |     |     |        |        |
o|               |            |      |    |    |      |_|     |      |     | log1|        |        |
u|               |            |      |    |  Ra|      |R|     |      | log1|0(LX/|        |       O|
p|Star           |n_Star      |SpType|Mass|dius|  Prot|o|   Ro|   Age|0(LX)|Lbol)|  <|BV|>|bs.Epoch|Ref
-|---------------|------------|------|----|----|------|-|-----|------|-----|-----|--------|--------|----------------------------------------------------------------------------------------------------------------------------
2|HD 129333      |            |G1.5V |1.04|0.97| 2.77 | |0.177| 120. |29.93|-3.60|  26.3  |2006 Dec|2015MNRAS.449....8W, 2014MNRAS.444.3517M, 2013ApJ...766....6B, 2005ApJ...628L..69L, 2012ApJ...753...76W
2|HD 141943      |            |G2V   |1.30|1.60| 2.18 |>|0.085|  17. |-    |-    |  27.8  |2009 Apr|2011MNRAS.413.1922M
2|HD 141943      |            |G2V   |1.30|1.60| 2.18 |>|0.085|  17. |-    |-    |  45.8  |2007 Mar|2011MNRAS.413.1922M
2|HD 141943      |            |G2V   |1.30|1.60| 2.18 |>|0.085|  17. |-    |-    |  36.1  |2010 Mar|2011MNRAS.413.1922M
2|HD 171488      |            |G0V   |1.06|1.09| 1.31 | |0.089|  40. |30.10|-3.61|  21.7  |2004 Sep|2006MNRAS.370..468M, 2003A&A...411..595S, 2003A&A...399..983W
2|HII 296        |            |K3    |0.80|0.74| 2.61 | |-    | 130. |29.33|-3.85|  36.6  |2009 Oct|2016MNRAS.457..580F, 1998ApJ...499L.199S, 2003A&A...410..671M
2|HII 739        |            |G3    |1.08|1.03| 2.70 | |-    | 130. |30.29|-3.41|   9.09 |2009 Oct|2016MNRAS.457..580F, 1998ApJ...499L.199S, 2003A&A...410..671M
2|HIP 12545      |            |K6    |0.58|0.57| 4.83 | |-    |  21. |-    |-    |  78.5  |2012 Sep|2016MNRAS.457..580F, 2014MNRAS.438L..11B
2|HIP 76768      |            |K6    |0.61|0.60| 3.64 | |-    | 120. |-    |-    |  54.2  |2013 May|2016MNRAS.457..580F, 2013ApJ...766....6B, 2005ApJ...628L..69L
2|LQ Hya         |            |K2V   |0.80|0.97| 1.60 | |0.053|  50. |29.96|-3.06|  65.3  |1998 Dec|2003MNRAS.345.1145D, 2004A&A...417.1047K, 2004ApJ...614..386B
